Year,Season,PlotID,Species,PlantID,Biomass
2015,Fall,111,Achnatherum hymenoides,107,0.542875063
2015,Fall,111,Achnatherum hymenoides,108,0.885660402
2015,Fall,111,Achnatherum hymenoides,110,0.96664157
2015,Fall,111,Achnatherum hymenoides,119,3.693476039
2015,Fall,111,Achnatherum hymenoides,129,0.641118573
2015,Fall,112,Achnatherum hymenoides,101,0.330162245
2015,Fall,112,Achnatherum hymenoides,102,0.373992196
2015,Fall,112,Achnatherum hymenoides,103,0.422356105
2015,Fall,112,Achnatherum hymenoides,111,0.80478109
2015,Fall,112,Achnatherum hymenoides,139,1.213205803
2015,Fall,121,Achnatherum hymenoides,112,1.229247257
2015,Fall,121,Achnatherum hymenoides,115,1.964553654
2015,Fall,121,Achnatherum hymenoides,128,3.418718355
2015,Fall,121,Achnatherum hymenoides,132,2.680420763
2015,Fall,121,Achnatherum hymenoides,136,1.827126474
2015,Fall,122,Achnatherum hymenoides,105,0.345318343
2015,Fall,122,Achnatherum hymenoides,106,1.722412483
2015,Fall,122,Achnatherum hymenoides,109,1.365074512
2015,Fall,122,Achnatherum hymenoides,114,0.581998131
2015,Fall,122,Achnatherum hymenoides,140,3.867080854
2015,Fall,131,Achnatherum hymenoides,113,1.16589608
2015,Fall,131,Achnatherum hymenoides,117,2.88475546
2015,Fall,131,Achnatherum hymenoides,120,1.280612578
2015,Fall,131,Achnatherum hymenoides,123,2.136007082
2015,Fall,131,Achnatherum hymenoides,135,0.688043386
2015,Fall,132,Achnatherum hymenoides,131,1.5281579
2015,Fall,132,Achnatherum hymenoides,133,-0.005718157
2015,Fall,132,Achnatherum hymenoides,134,0.380821125
2015,Fall,132,Achnatherum hymenoides,137,5.399691157
2015,Fall,132,Achnatherum hymenoides,138,2.331701357
2015,Fall,211,Achnatherum hymenoides,148,0.967284462
2015,Fall,211,Achnatherum hymenoides,149,1.089746865
2015,Fall,211,Achnatherum hymenoides,174,1.475938219
2015,Fall,211,Achnatherum hymenoides,182,3.358798229
2015,Fall,211,Achnatherum hymenoides,183,1.711724659
2015,Fall,212,Achnatherum hymenoides,118,2.269435722
2015,Fall,212,Achnatherum hymenoides,192,0.578828992
